Обработано 1 бюл. (1) Кандидат N 2 - Зыков[1 гол.]
Обработано 2 бюл. (1) Кандидат N 2 - Зыков[1 гол.];(2) Кандидат N 20 - Лукин[1 гол.]
Обработано 38 бюл. (1) Кандидат N 20 - Лукин[12 гол.];(2) Кандидат N 19 - Носов[7 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 39 бюл. (1) Кандидат N 20 - Лукин[12 гол.];(2) Кандидат N 19 - Носов[7 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 40 бюл. (1) Кандидат N 20 - Лукин[12 гол.];(2) Кандидат N 19 - Носов[7 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 41 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[7 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 42 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[7 гол.];(3) Кандидат N 9 - Романов[6 гол.].
Обработано 43 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 9 - Романов[7 гол.];(3) Кандидат N 19 - Носов[7 гол.].
Обработано 44 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[8 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 45 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[8 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 46 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 47 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 48 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 49 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 50 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 51 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 52 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 53 бюл. (1) Кандидат N 20 - Лукин[13 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 54 бюл. (1) Кандидат N 20 - Лукин[14 гол.];(2) Кандидат N 19 - Носов[9 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 55 бюл. (1) Кандидат N 20 - Лукин[14 гол.];(2) Кандидат N 19 - Носов[10 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 56 бюл. (1) Кандидат N 20 - Лукин[14 гол.];(2) Кандидат N 19 - Носов[10 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 57 бюл. (1) Кандидат N 20 - Лукин[15 гол.];(2) Кандидат N 19 - Носов[10 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 58 бюл. (1) Кандидат N 20 - Лукин[15 гол.];(2) Кандидат N 19 - Носов[11 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 59 бюл. (1) Кандидат N 20 - Лукин[15 гол.];(2) Кандидат N 19 - Носов[11 гол.];(3) Кандидат N 9 - Романов[7 гол.].
Обработано 60 бюл. (1) Кандидат N 20 - Лукин[15 гол.];(2) Кандидат N 19 - Носов[11 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 61 бюл. (1) Кандидат N 20 - Лукин[15 гол.];(2) Кандидат N 19 - Носов[11 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 62 бюл. (1) Кандидат N 20 - Лукин[15 гол.];(2) Кандидат N 19 - Носов[12 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 63 бюл. (1) Кандидат N 20 - Лукин[16 гол.];(2) Кандидат N 19 - Носов[12 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 64 бюл. (1) Кандидат N 20 - Лукин[17 гол.];(2) Кандидат N 19 - Носов[12 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 65 бюл. (1) Кандидат N 20 - Лукин[18 гол.];(2) Кандидат N 19 - Носов[12 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 66 бюл. (1) Кандидат N 20 - Лукин[18 гол.];(2) Кандидат N 19 - Носов[12 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 67 бюл. (1) Кандидат N 20 - Лукин[18 гол.];(2) Кандидат N 19 - Носов[13 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 68 бюл. (1) Кандидат N 20 - Лукин[19 гол.];(2) Кандидат N 19 - Носов[13 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 69 бюл. (1) Кандидат N 20 - Лукин[20 гол.];(2) Кандидат N 19 - Носов[13 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 70 бюл. (1) Кандидат N 20 - Лукин[20 гол.];(2) Кандидат N 19 - Носов[14 гол.];(3) Кандидат N 2 - Зыков[7 гол.].
Обработано 71 бюл. (1) Кандидат N 20 - Лукин[20 гол.];(2) Кандидат N 19 - Носов[14 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 72 бюл. (1) Кандидат N 20 - Лукин[20 гол.];(2) Кандидат N 19 - Носов[15 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 73 бюл. (1) Кандидат N 20 - Лукин[20 гол.];(2) Кандидат N 19 - Носов[15 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 74 бюл. (1) Кандидат N 20 - Лукин[20 гол.];(2) Кандидат N 19 - Носов[15 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 75 бюл. (1) Кандидат N 20 - Лукин[21 гол.];(2) Кандидат N 19 - Носов[15 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 76 бюл. (1) Кандидат N 20 - Лукин[22 гол.];(2) Кандидат N 19 - Носов[15 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 77 бюл. (1) Кандидат N 20 - Лукин[22 гол.];(2) Кандидат N 19 - Носов[15 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 78 бюл. (1) Кандидат N 20 - Лукин[22 гол.];(2) Кандидат N 19 - Носов[16 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 79 бюл. (1) Кандидат N 20 - Лукин[23 гол.];(2) Кандидат N 19 - Носов[16 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 80 бюл. (1) Кандидат N 20 - Лукин[24 гол.];(2) Кандидат N 19 - Носов[16 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 81 бюл. (1) Кандидат N 20 - Лукин[25 гол.];(2) Кандидат N 19 - Носов[16 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 82 бюл. (1) Кандидат N 20 - Лукин[26 гол.];(2) Кандидат N 19 - Носов[16 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 83 бюл. (1) Кандидат N 20 - Лукин[27 гол.];(2) Кандидат N 19 - Носов[16 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 84 бюл. (1) Кандидат N 20 - Лукин[27 гол.];(2) Кандидат N 19 - Носов[17 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 85 бюл. (1) Кандидат N 20 - Лукин[27 гол.];(2) Кандидат N 19 - Носов[18 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 86 бюл. (1) Кандидат N 20 - Лукин[27 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 87 бюл. (1) Кандидат N 20 - Лукин[27 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 88 бюл. (1) Кандидат N 20 - Лукин[28 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 89 бюл. (1) Кандидат N 20 - Лукин[29 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 90 бюл. (1) Кандидат N 20 - Лукин[29 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 91 бюл. (1) Кандидат N 20 - Лукин[30 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 92 бюл. (1) Кандидат N 20 - Лукин[30 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 93 бюл. (1) Кандидат N 20 - Лукин[31 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 94 бюл. (1) Кандидат N 20 - Лукин[32 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 95 бюл. (1) Кандидат N 20 - Лукин[33 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 96 бюл. (1) Кандидат N 20 - Лукин[33 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 97 бюл. (1) Кандидат N 20 - Лукин[34 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[8 гол.].
Обработано 98 бюл. (1) Кандидат N 20 - Лукин[34 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[9 гол.].
Обработано 99 бюл. (1) Кандидат N 20 - Лукин[34 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[9 гол.].
Обработано 100 бюл. (1) Кандидат N 20 - Лукин[35 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[9 гол.].
Обработано 101 бюл. (1) Кандидат N 20 - Лукин[35 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 102 бюл. (1) Кандидат N 20 - Лукин[36 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 103 бюл. (1) Кандидат N 20 - Лукин[37 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 104 бюл. (1) Кандидат N 20 - Лукин[37 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 105 бюл. (1) Кандидат N 20 - Лукин[38 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 106 бюл. (1) Кандидат N 20 - Лукин[39 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 107 бюл. (1) Кандидат N 20 - Лукин[39 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 108 бюл. (1) Кандидат N 20 - Лукин[39 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 109 бюл. (1) Кандидат N 20 - Лукин[39 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 2 - Зыков[10 гол.].
Обработано 110 бюл. (1) Кандидат N 20 - Лукин[39 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 2 - Зыков[10 гол.].
Обработано 111 бюл. (1) Кандидат N 20 - Лукин[39 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 112 бюл. (1) Кандидат N 20 - Лукин[40 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 113 бюл. (1) Кандидат N 20 - Лукин[41 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[10 гол.].
Обработано 114 бюл. (1) Кандидат N 20 - Лукин[41 гол.];(2) Кандидат N 19 - Носов[19 гол.];(3) Кандидат N 9 - Романов[11 гол.].
Обработано 115 бюл. (1) Кандидат N 20 - Лукин[41 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[11 гол.].
Обработано 116 бюл. (1) Кандидат N 20 - Лукин[42 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[11 гол.].
Обработано 117 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[11 гол.].
Обработано 118 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 119 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 120 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 121 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 122 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 123 бюл. (1) Кандидат N 20 - Лукин[43 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 124 бюл. (1) Кандидат N 20 - Лукин[44 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 125 бюл. (1) Кандидат N 20 - Лукин[45 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 126 бюл. (1) Кандидат N 20 - Лукин[45 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 127 бюл. (1) Кандидат N 20 - Лукин[46 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 128 бюл. (1) Кандидат N 20 - Лукин[47 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[12 гол.].
Обработано 129 бюл. (1) Кандидат N 20 - Лукин[47 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[13 гол.].
Обработано 130 бюл. (1) Кандидат N 20 - Лукин[47 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[14 гол.].
Обработано 131 бюл. (1) Кандидат N 20 - Лукин[48 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[14 гол.].
Обработано 132 бюл. (1) Кандидат N 20 - Лукин[48 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[15 гол.].
Обработано 133 бюл. (1) Кандидат N 20 - Лукин[48 гол.];(2) Кандидат N 19 - Носов[20 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 134 бюл. (1) Кандидат N 20 - Лукин[48 гол.];(2) Кандидат N 19 - Носов[21 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 135 бюл. (1) Кандидат N 20 - Лукин[49 гол.];(2) Кандидат N 19 - Носов[21 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 136 бюл. (1) Кандидат N 20 - Лукин[50 гол.];(2) Кандидат N 19 - Носов[21 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 137 бюл. (1) Кандидат N 20 - Лукин[51 гол.];(2) Кандидат N 19 - Носов[21 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 138 бюл. (1) Кандидат N 20 - Лукин[51 гол.];(2) Кандидат N 19 - Носов[22 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 139 бюл. (1) Кандидат N 20 - Лукин[52 гол.];(2) Кандидат N 19 - Носов[22 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 140 бюл. (1) Кандидат N 20 - Лукин[53 гол.];(2) Кандидат N 19 - Носов[22 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 141 бюл. (1) Кандидат N 20 - Лукин[54 гол.];(2) Кандидат N 19 - Носов[22 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 142 бюл. (1) Кандидат N 20 - Лукин[54 гол.];(2) Кандидат N 19 - Носов[23 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 143 бюл. (1) Кандидат N 20 - Лукин[54 гол.];(2) Кандидат N 19 - Носов[24 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 144 бюл. (1) Кандидат N 20 - Лукин[54 гол.];(2) Кандидат N 19 - Носов[25 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 145 бюл. (1) Кандидат N 20 - Лукин[54 гол.];(2) Кандидат N 19 - Носов[25 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 146 бюл. (1) Кандидат N 20 - Лукин[55 гол.];(2) Кандидат N 19 - Носов[25 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 147 бюл. (1) Кандидат N 20 - Лукин[56 гол.];(2) Кандидат N 19 - Носов[25 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 148 бюл. (1) Кандидат N 20 - Лукин[57 гол.];(2) Кандидат N 19 - Носов[25 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 149 бюл. (1) Кандидат N 20 - Лукин[58 гол.];(2) Кандидат N 19 - Носов[25 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 150 бюл. (1) Кандидат N 20 - Лукин[58 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 151 бюл. (1) Кандидат N 20 - Лукин[59 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 152 бюл. (1) Кандидат N 20 - Лукин[60 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 153 бюл. (1) Кандидат N 20 - Лукин[61 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 154 бюл. (1) Кандидат N 20 - Лукин[62 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 155 бюл. (1) Кандидат N 20 - Лукин[63 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 156 бюл. (1) Кандидат N 20 - Лукин[64 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 157 бюл. (1) Кандидат N 20 - Лукин[65 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 158 бюл. (1) Кандидат N 20 - Лукин[66 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 159 бюл. (1) Кандидат N 20 - Лукин[67 гол.];(2) Кандидат N 19 - Носов[26 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 160 бюл. (1) Кандидат N 20 - Лукин[67 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 161 бюл. (1) Кандидат N 20 - Лукин[68 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 162 бюл. (1) Кандидат N 20 - Лукин[68 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 163 бюл. (1) Кандидат N 20 - Лукин[69 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 164 бюл. (1) Кандидат N 20 - Лукин[70 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 165 бюл. (1) Кандидат N 20 - Лукин[71 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 166 бюл. (1) Кандидат N 20 - Лукин[72 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 167 бюл. (1) Кандидат N 20 - Лукин[73 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 168 бюл. (1) Кандидат N 20 - Лукин[74 гол.];(2) Кандидат N 19 - Носов[27 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 169 бюл. (1) Кандидат N 20 - Лукин[74 гол.];(2) Кандидат N 19 - Носов[28 гол.];(3) Кандидат N 9 - Романов[16 гол.].
Обработано 170 бюл. (1) Кандидат N 20 - Лукин[75 гол.];(2) Кандидат N 19 - Носов[28 гол.];(3) Кандидат N 9 - Романов[16 гол.].
